exp,map50,map50_95,precision,recall,f1,fnr,fps
baseline_val_clean,0.989418947136182,0.6091803161605879,0.9816812419856814,0.9885740678512746,0.9851155978393329,0.011425932148725448,
p2_val_clean,0.9866853902862441,0.590096660547584,0.9802803430276487,0.9875665928170342,0.9839099787034834,0.012433407182965817,
baseline_test_clean,0.9884916318956147,0.6129512461856962,0.9813468159914008,0.9911609152904267,0.9862294508962911,0.008839084709573286,90.65455779009112
p2_test_clean,0.9879193663207353,0.5941873071332997,0.9838401614841676,0.9822974318353214,0.983068191408419,0.017702568164678634,92.23996795366256
baseline_test_noise_s10,0.981112659256511,0.5819111617172708,0.9754144884508026,0.9599469390244275,0.9676189048470737,0.040053060975572485,
p2_test_noise_s10,0.9797665610973625,0.5494970325468046,0.974000195837232,0.9616688861648011,0.9677952622834787,0.03833111383519894,
baseline_test_noise_s20,0.6479177459399749,0.3260831173987612,0.7821457237476652,0.5881869417662338,0.6714397355391811,0.41181305823376624,
p2_test_noise_s20,0.7524785373298347,0.361039658017998,0.854229455136105,0.6737848930743945,0.7533527453638657,0.3262151069256055,
baseline_test_noise_s30,0.20669036863551624,0.10001224085276166,0.4019958656372489,0.2040650501967728,0.2707097730836888,0.7959349498032272,
p2_test_noise_s30,0.24689303386300554,0.12110446833979237,0.6568499399803126,0.2169452496792249,0.32616447404874405,0.7830547503207751,
baseline_test_clean_tta,0.9884510177547234,0.6045809418444116,0.9764753118387852,0.9881395051629221,0.9822727825261524,0.01186049483707785,
p2_test_clean_tta,0.988464226749315,0.5842245807259484,0.9772782206083553,0.9836753368067302,0.9804663442187961,0.01632466319326975,
baseline_test_clean_imgsz960,0.9878805616329104,0.5870982885393343,0.9801104584472596,0.986499385734516,0.9832945442337845,0.01350061426548399,
p2_test_clean_imgsz960,0.983898729980817,0.5598517253637886,0.9760766412443792,0.9763030774892646,0.9761898462358278,0.023696922510735408,
