model,light,class,ap50
baseline,light_01,missing_hole,0.995
baseline,light_01,mouse_bite,0.995
baseline,light_01,open_circuit,0.995
baseline,light_01,short,0.925
baseline,light_01,spur,0.995
baseline,light_01,spurious_copper,0.995
p2,light_01,missing_hole,0.995
p2,light_01,mouse_bite,0.995
p2,light_01,open_circuit,0.995
p2,light_01,short,0.8934615384615385
p2,light_01,spur,0.993181818181818
p2,light_01,spurious_copper,0.995
baseline,light_04,missing_hole,0.995
baseline,light_04,mouse_bite,0.995
baseline,light_04,open_circuit,0.995
baseline,light_04,short,0.9460515672396361
baseline,light_04,spur,0.9741489361702127
baseline,light_04,spurious_copper,0.995
p2,light_04,missing_hole,0.995
p2,light_04,mouse_bite,0.995
p2,light_04,open_circuit,0.995
p2,light_04,short,0.9454772004241782
p2,light_04,spur,0.9752150537634408
p2,light_04,spurious_copper,0.995
baseline,light_05,missing_hole,0.995
baseline,light_05,mouse_bite,0.9729166666666665
baseline,light_05,open_circuit,0.995
baseline,light_05,short,0.995
baseline,light_05,spur,0.995
baseline,light_05,spurious_copper,0.995
p2,light_05,missing_hole,0.995
p2,light_05,mouse_bite,0.9850830564784052
p2,light_05,open_circuit,0.995
p2,light_05,short,0.995
p2,light_05,spur,0.9936486486486485
p2,light_05,spurious_copper,0.995
baseline,light_06,missing_hole,0.995
baseline,light_06,mouse_bite,0.986451355661882
baseline,light_06,open_circuit,0.9807894736842105
baseline,light_06,short,0.995
baseline,light_06,spur,0.9426224611708482
baseline,light_06,spurious_copper,0.9907313195548489
p2,light_06,missing_hole,0.995
p2,light_06,mouse_bite,0.9927777777777776
p2,light_06,open_circuit,0.9776315789473684
p2,light_06,short,0.995
p2,light_06,spur,0.9883243243243243
p2,light_06,spurious_copper,0.9824285714285711
baseline,light_07,missing_hole,0.965
baseline,light_07,mouse_bite,0.995
baseline,light_07,open_circuit,0.995
baseline,light_07,short,0.995
baseline,light_07,spur,0.995
baseline,light_07,spurious_copper,0.995
p2,light_07,missing_hole,0.965
p2,light_07,mouse_bite,0.995
p2,light_07,open_circuit,0.995
p2,light_07,short,0.995
p2,light_07,spur,0.995
p2,light_07,spurious_copper,0.995
baseline,light_08,missing_hole,0.995
baseline,light_08,mouse_bite,0.9800000000000003
baseline,light_08,open_circuit,0.995
baseline,light_08,short,0.995
baseline,light_08,spur,0.9545238095238093
baseline,light_08,spurious_copper,0.995
p2,light_08,missing_hole,0.9944871794871796
p2,light_08,mouse_bite,0.9685294117647063
p2,light_08,open_circuit,0.995
p2,light_08,short,0.995
p2,light_08,spur,0.9688095238095236
p2,light_08,spurious_copper,0.995
baseline,light_09,missing_hole,0.9380334928229668
baseline,light_09,mouse_bite,0.9590000000000001
baseline,light_09,open_circuit,0.995
baseline,light_09,short,0.995
baseline,light_09,spur,0.985
baseline,light_09,spurious_copper,0.9715000000000003
p2,light_09,missing_hole,0.9500278086763071
p2,light_09,mouse_bite,0.9674444444444443
p2,light_09,open_circuit,0.9643103448275863
p2,light_09,short,0.9940909090909092
p2,light_09,spur,0.9925675675675675
p2,light_09,spurious_copper,0.9465000000000001
baseline,light_10,missing_hole,0.995
baseline,light_10,mouse_bite,0.995
baseline,light_10,open_circuit,0.995
baseline,light_10,short,0.9519565217391304
baseline,light_10,spur,0.995
baseline,light_10,spurious_copper,0.995
p2,light_10,missing_hole,0.995
p2,light_10,mouse_bite,0.995
p2,light_10,open_circuit,0.995
p2,light_10,short,0.9492961876832844
p2,light_10,spur,0.98
p2,light_10,spurious_copper,0.995
baseline,light_11,missing_hole,0.995
baseline,light_11,mouse_bite,0.995
baseline,light_11,open_circuit,0.995
baseline,light_11,short,0.995
baseline,light_11,spur,0.995
baseline,light_11,spurious_copper,0.995
p2,light_11,missing_hole,0.995
p2,light_11,mouse_bite,0.995
p2,light_11,open_circuit,0.995
p2,light_11,short,0.995
p2,light_11,spur,0.995
p2,light_11,spurious_copper,0.995
baseline,light_12,missing_hole,0.995
baseline,light_12,mouse_bite,0.9800000000000002
baseline,light_12,open_circuit,0.995
baseline,light_12,short,0.995
baseline,light_12,spur,0.9945744680851063
baseline,light_12,spurious_copper,0.9920370370370372
p2,light_12,missing_hole,0.995
p2,light_12,mouse_bite,0.9850000000000002
p2,light_12,open_circuit,0.995
p2,light_12,short,0.995
p2,light_12,spur,0.995
p2,light_12,spurious_copper,0.9907142857142855
