exp,map50,map50_95,precision,recall,f1,fnr,model,light
baseline_light_01,0.9833333333333334,0.5895142349910152,0.9920446209722549,0.985780226053231,0.9889025028557747,0.014219773946768988,baseline,light_01
p2_light_01,0.9777738927738927,0.5748292643502726,0.9778710967785823,0.9701468778766095,0.9739936734140638,0.02985312212339053,p2,light_01
baseline_light_04,0.9833667505683081,0.6652405345446439,0.9820849076755098,0.9892075238976257,0.9856333481721451,0.010792476102374327,baseline,light_04
p2_light_04,0.9834487090312698,0.6356709336093223,0.9880193595292216,0.9833693620329246,0.9856888767087338,0.016630637967075423,p2,light_04
baseline_light_05,0.9913194444444445,0.6888495084368008,0.9802362577586732,1.0,0.9900195028932071,0.0,baseline,light_05
p2_light_05,0.9931219508545089,0.6550644114744912,0.9776249252564851,0.9916666666666667,0.9845957346850642,0.008333333333333304,p2,light_05
baseline_light_06,0.9817657683452983,0.6390932673990227,0.9576407862813664,0.982908644658147,0.9701102093106325,0.01709135534185302,baseline,light_06
p2_light_06,0.9885270420796735,0.6156293280702955,0.974537183693978,0.9752314725717522,0.9748842045189573,0.024768527428247755,p2,light_06
baseline_light_07,0.9900000000000001,0.7018379648633206,0.9947557532384281,0.9891644302828443,0.9919522126905372,0.010835569717155713,baseline,light_07
p2_light_07,0.9900000000000001,0.6586569030497685,0.9963045370209124,0.9854103871837089,0.9908275177093947,0.01458961281629112,p2,light_07
baseline_light_08,0.9857539682539683,0.6279845238291476,0.9747203826986474,1.0,0.98719838133903,0.0,baseline,light_08
p2_light_08,0.9861376858435683,0.6127000836522776,0.9681407777422297,0.9963373451913116,0.9820367058368888,0.003662654808688437,p2,light_08
baseline_light_09,0.9739222488038278,0.6844824264377743,0.9513080946001108,0.9934470867069963,0.9719210564139609,0.00655291329300367,baseline,light_09
p2_light_09,0.9691568457678025,0.6332136077294594,0.9492941809798298,0.9867548790011935,0.9676621156474935,0.013245120998806481,p2,light_09
baseline_light_10,0.9878260869565217,0.7064019513143248,0.9865867891282024,0.9631631035382494,0.9747342439157823,0.03683689646175059,baseline,light_10
p2_light_10,0.9848826979472141,0.6679960392535347,0.9945881813056282,0.9619034391805141,0.9779727979907826,0.03809656081948587,p2,light_10
baseline_light_11,0.995,0.7071530176532144,0.9987278056337705,1.0,0.9993634979397177,0.0,baseline,light_11
p2_light_11,0.995,0.6796995416871208,0.99822767254425,1.0,0.9991130502894631,0.0,p2,light_11
baseline_light_12,0.9919352508536906,0.6645794792367786,0.9837183747138822,0.9838563376970758,0.9837873513686144,0.01614366230292419,baseline,light_12
p2_light_12,0.9926190476190476,0.6491194540763271,0.9853105987243724,0.9930458260835241,0.9891630903203976,0.006954173916475903,p2,light_12
