exp,map50,map50_95,precision,recall,f1,fnr,model,light
baseline_light_01,0.9833333333333334,0.5895142349910152,0.9920446209722548,0.985780226053231,0.9889025028557747,0.0142197739467689,baseline,light_01
p2_light_01,0.9777738927738928,0.5748292643502726,0.9778710967785824,0.9701468778766096,0.9739936734140638,0.0298531221233905,p2,light_01
baseline_light_04,0.983366750568308,0.6652405345446439,0.9820849076755098,0.9892075238976256,0.9856333481721452,0.0107924761023743,baseline,light_04
p2_light_04,0.9834487090312698,0.6356709336093223,0.9880193595292216,0.9833693620329246,0.9856888767087338,0.0166306379670754,p2,light_04
baseline_light_05,0.9913194444444444,0.6888495084368008,0.9802362577586732,1.0,0.9900195028932072,0.0,baseline,light_05
p2_light_05,0.9931219508545088,0.6550644114744912,0.9776249252564853,0.9916666666666668,0.9845957346850642,0.0083333333333333,p2,light_05
baseline_light_06,0.9817657683452984,0.6390932673990227,0.9576407862813664,0.982908644658147,0.9701102093106324,0.017091355341853,baseline,light_06
p2_light_06,0.9885270420796736,0.6156293280702955,0.974537183693978,0.9752314725717522,0.9748842045189572,0.0247685274282477,p2,light_06
baseline_light_07,0.99,0.7018379648633206,0.994755753238428,0.9891644302828444,0.9919522126905372,0.0108355697171557,baseline,light_07
p2_light_07,0.99,0.6586569030497685,0.9963045370209124,0.9854103871837088,0.9908275177093948,0.0145896128162911,p2,light_07
baseline_light_08,0.9857539682539684,0.6279845238291476,0.9747203826986474,1.0,0.98719838133903,0.0,baseline,light_08
p2_light_08,0.9861376858435684,0.6127000836522776,0.9681407777422296,0.9963373451913116,0.9820367058368888,0.0036626548086884,p2,light_08
baseline_light_09,0.9739222488038278,0.6844824264377743,0.9513080946001108,0.9934470867069964,0.9719210564139608,0.0065529132930036,baseline,light_09
p2_light_09,0.9691568457678024,0.6332136077294594,0.9492941809798298,0.9867548790011936,0.9676621156474936,0.0132451209988064,p2,light_09
baseline_light_10,0.9878260869565216,0.7064019513143248,0.9865867891282024,0.9631631035382494,0.9747342439157825,0.0368368964617505,baseline,light_10
p2_light_10,0.984882697947214,0.6679960392535347,0.9945881813056282,0.961903439180514,0.9779727979907826,0.0380965608194858,p2,light_10
baseline_light_11,0.995,0.7071530176532144,0.9987278056337704,1.0,0.9993634979397176,0.0,baseline,light_11
p2_light_11,0.995,0.6796995416871208,0.99822767254425,1.0,0.9991130502894632,0.0,p2,light_11
baseline_light_12,0.9919352508536906,0.6645794792367786,0.9837183747138822,0.9838563376970758,0.9837873513686144,0.0161436623029241,baseline,light_12
p2_light_12,0.9926190476190476,0.6491194540763271,0.9853105987243724,0.993045826083524,0.9891630903203976,0.0069541739164759,p2,light_12
