epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.17,2.29787,4.22416,1.32803,0.64008,0.60376,0.63191,0.25602,1.98973,1.73645,1.20567,0.000332292,0.000332292,0.000332292
2,311.802,1.94009,2.07351,1.17291,0.82737,0.76711,0.83598,0.37341,1.83049,1.25563,1.19029,0.000659035,0.000659035,0.000659035
3,455.648,1.90326,1.5605,1.18171,0.85567,0.8211,0.87696,0.40708,1.75868,1.13519,1.15878,0.000979179,0.000979179,0.000979179
4,595.801,1.86715,1.34229,1.16404,0.89592,0.83927,0.89802,0.41857,1.78208,1.06169,1.18455,0.0009703,0.0009703,0.0009703
5,732.603,1.8173,1.20615,1.14663,0.88566,0.79883,0.87354,0.40153,1.80908,1.11231,1.2125,0.0009604,0.0009604,0.0009604
6,867.949,1.78797,1.12777,1.14481,0.93672,0.87471,0.93265,0.4422,1.74261,0.93832,1.16683,0.0009505,0.0009505,0.0009505
7,1004.92,1.76931,1.07824,1.13066,0.92341,0.86838,0.93362,0.45675,1.69787,0.92028,1.15552,0.0009406,0.0009406,0.0009406
8,1140.64,1.76161,1.04158,1.13098,0.94404,0.91839,0.95655,0.47873,1.66939,0.83235,1.13695,0.0009307,0.0009307,0.0009307
9,1274.36,1.73231,1.00627,1.12295,0.95498,0.91806,0.95613,0.46425,1.71059,0.8376,1.15652,0.0009208,0.0009208,0.0009208
10,1409.24,1.71433,0.96757,1.11731,0.95519,0.93146,0.96323,0.4765,1.69517,0.79965,1.14357,0.0009109,0.0009109,0.0009109
11,1544.37,1.72386,0.96025,1.11813,0.94826,0.91207,0.95562,0.46703,1.70705,0.82746,1.14802,0.000901,0.000901,0.000901
12,1679.97,1.71108,0.93177,1.11171,0.95568,0.93339,0.96108,0.47876,1.66665,0.78216,1.14107,0.0008911,0.0008911,0.0008911
13,1813.72,1.69968,0.92604,1.11074,0.96276,0.94259,0.96956,0.49312,1.64814,0.75597,1.12978,0.0008812,0.0008812,0.0008812
14,1948.56,1.6968,0.9102,1.10713,0.96695,0.95414,0.97495,0.50383,1.61761,0.73617,1.12174,0.0008713,0.0008713,0.0008713
15,2087.19,1.67944,0.88233,1.10376,0.96435,0.94596,0.97051,0.49537,1.64553,0.72183,1.13474,0.0008614,0.0008614,0.0008614
16,2229.15,1.68276,0.86871,1.10508,0.96646,0.95438,0.97286,0.4975,1.64508,0.7225,1.13025,0.0008515,0.0008515,0.0008515
17,2368.92,1.66062,0.85473,1.09234,0.96802,0.94654,0.97375,0.51195,1.5997,0.70879,1.11049,0.0008416,0.0008416,0.0008416
18,2512.61,1.65814,0.84901,1.09562,0.96067,0.95312,0.97246,0.48813,1.66371,0.72294,1.12743,0.0008317,0.0008317,0.0008317
19,2653.4,1.6412,0.83058,1.09135,0.97406,0.9583,0.97497,0.50327,1.63516,0.68837,1.12551,0.0008218,0.0008218,0.0008218
20,2793.26,1.64615,0.82672,1.09166,0.96565,0.96546,0.97542,0.50444,1.62486,0.67932,1.12352,0.0008119,0.0008119,0.0008119
21,2934.02,1.64238,0.81281,1.09269,0.96743,0.95444,0.97456,0.50233,1.62188,0.6926,1.1215,0.000802,0.000802,0.000802
22,3073.98,1.63913,0.8131,1.08857,0.96919,0.96678,0.97735,0.50809,1.6231,0.67396,1.12103,0.0007921,0.0007921,0.0007921
23,3213.14,1.62172,0.80547,1.08482,0.96868,0.96105,0.97907,0.51503,1.591,0.67275,1.11094,0.0007822,0.0007822,0.0007822
24,3350.79,1.61244,0.79665,1.08809,0.97512,0.9685,0.97992,0.52228,1.58078,0.64769,1.10709,0.0007723,0.0007723,0.0007723
25,3489.88,1.60055,0.78603,1.07982,0.97633,0.96448,0.98073,0.51808,1.58593,0.64765,1.10789,0.0007624,0.0007624,0.0007624
26,3628.88,1.59975,0.77568,1.07944,0.97427,0.97212,0.98172,0.51885,1.58168,0.6383,1.1051,0.0007525,0.0007525,0.0007525
27,3768.66,1.59321,0.7685,1.06986,0.97276,0.96595,0.97891,0.52152,1.58562,0.63872,1.10597,0.0007426,0.0007426,0.0007426
28,3908.44,1.58852,0.75689,1.07006,0.97396,0.97309,0.97908,0.51703,1.58292,0.63498,1.10523,0.0007327,0.0007327,0.0007327
29,4046.47,1.5759,0.75913,1.06464,0.9722,0.97024,0.98244,0.52166,1.57103,0.63206,1.09708,0.0007228,0.0007228,0.0007228
30,4185.44,1.57134,0.74948,1.06777,0.97674,0.9715,0.98195,0.52185,1.57709,0.62266,1.10178,0.0007129,0.0007129,0.0007129
31,4322.84,1.56656,0.73595,1.06144,0.97521,0.97446,0.98276,0.52636,1.56447,0.62612,1.09692,0.000703,0.000703,0.000703
32,4468.36,1.57263,0.75018,1.06386,0.97359,0.97674,0.98523,0.53475,1.53917,0.61632,1.08762,0.0006931,0.0006931,0.0006931
33,4608.31,1.54907,0.72852,1.06395,0.97631,0.9747,0.98433,0.53532,1.54708,0.60525,1.09201,0.0006832,0.0006832,0.0006832
34,4748.48,1.54532,0.72463,1.06045,0.97479,0.97589,0.98344,0.53853,1.52568,0.60227,1.08444,0.0006733,0.0006733,0.0006733
35,4886.54,1.53597,0.72754,1.05495,0.97045,0.97791,0.98386,0.53405,1.54539,0.60228,1.08927,0.0006634,0.0006634,0.0006634
36,5027.26,1.53674,0.71792,1.05893,0.97776,0.98146,0.98495,0.54287,1.51664,0.58626,1.08122,0.0006535,0.0006535,0.0006535
37,5168.73,1.53542,0.71149,1.05567,0.97804,0.97626,0.98319,0.54179,1.52613,0.58912,1.08432,0.0006436,0.0006436,0.0006436
