epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.3038,3.32947,5.87036,3.34867,0.27869,0.42536,0.30209,0.12426,2.20392,3.02578,2.49968,0.000332292,0.000332292,0.000332292
2,153.446,2.25982,3.48437,2.27224,0.59774,0.61671,0.6252,0.27061,1.94683,1.71367,2.01935,0.000659035,0.000659035,0.000659035
3,216.333,2.10877,2.72046,2.02374,0.80817,0.76252,0.82172,0.34481,1.95048,1.39045,1.97608,0.000979179,0.000979179,0.000979179
4,277.719,2.00711,2.19381,1.90083,0.85808,0.80738,0.87286,0.3974,1.82069,1.1869,1.86791,0.0009703,0.0009703,0.0009703
5,338.923,1.96539,1.90242,1.84471,0.87843,0.79938,0.87299,0.39923,1.79508,1.17882,1.82464,0.0009604,0.0009604,0.0009604
6,400.078,1.93203,1.72468,1.80769,0.87094,0.83508,0.88968,0.4,1.81675,1.14889,1.84275,0.0009505,0.0009505,0.0009505
7,461.03,1.88962,1.63076,1.77785,0.89863,0.84572,0.90313,0.43352,1.73132,1.08408,1.77341,0.0009406,0.0009406,0.0009406
8,522.145,1.86634,1.53915,1.75137,0.92358,0.87568,0.9258,0.43412,1.7633,1.03057,1.79272,0.0009307,0.0009307,0.0009307
9,583.646,1.84222,1.48691,1.73195,0.93504,0.88484,0.93224,0.4542,1.70975,0.99025,1.75261,0.0009208,0.0009208,0.0009208
10,644.948,1.82762,1.44917,1.70949,0.93052,0.87597,0.93318,0.45489,1.71831,0.99256,1.75303,0.0009109,0.0009109,0.0009109
11,706.064,1.79561,1.38519,1.68766,0.93343,0.90999,0.94312,0.45472,1.70664,0.94481,1.74774,0.000901,0.000901,0.000901
12,767.829,1.79533,1.36286,1.69715,0.93672,0.88873,0.93799,0.44976,1.70977,0.96258,1.74415,0.0008911,0.0008911,0.0008911
13,829.071,1.78419,1.32598,1.67605,0.94659,0.9215,0.95496,0.47728,1.67722,0.90336,1.72314,0.0008812,0.0008812,0.0008812
14,890.557,1.77374,1.29427,1.66262,0.95381,0.93058,0.95563,0.46124,1.69749,0.87386,1.73246,0.0008713,0.0008713,0.0008713
15,951.951,1.76284,1.28198,1.66459,0.94829,0.93672,0.95547,0.47247,1.68241,0.86572,1.72231,0.0008614,0.0008614,0.0008614
16,1013.56,1.75435,1.25015,1.65452,0.95465,0.91896,0.95828,0.46322,1.70594,0.891,1.73832,0.0008515,0.0008515,0.0008515
17,1074.28,1.73943,1.23753,1.64388,0.9556,0.92173,0.95552,0.47771,1.66258,0.85794,1.70421,0.0008416,0.0008416,0.0008416
18,1135.03,1.7471,1.21211,1.65327,0.96355,0.94692,0.9703,0.4884,1.65269,0.81375,1.69625,0.0008317,0.0008317,0.0008317
19,1196.82,1.72934,1.20363,1.65399,0.9553,0.94706,0.96595,0.4908,1.65578,0.79127,1.69111,0.0008218,0.0008218,0.0008218
20,1257.89,1.71768,1.18322,1.62992,0.95545,0.93896,0.95929,0.43504,1.79985,0.82909,1.80108,0.0008119,0.0008119,0.0008119
21,1318.49,1.71796,1.15068,1.62919,0.97067,0.9505,0.97377,0.48251,1.6747,0.76952,1.70737,0.000802,0.000802,0.000802
22,1379.84,1.71131,1.14396,1.62791,0.96463,0.93042,0.96424,0.4887,1.65479,0.79436,1.68967,0.0007921,0.0007921,0.0007921
23,1441.19,1.6982,1.12991,1.6061,0.96798,0.95272,0.97025,0.49555,1.63192,0.7749,1.68067,0.0007822,0.0007822,0.0007822
24,1503.01,1.72413,1.14527,1.62593,0.96509,0.95137,0.97367,0.50706,1.61569,0.75222,1.66524,0.0007723,0.0007723,0.0007723
25,1564.94,1.69817,1.11773,1.61354,0.96587,0.95863,0.97454,0.50561,1.62081,0.75614,1.67177,0.0007624,0.0007624,0.0007624
26,1626.45,1.7009,1.11698,1.59676,0.96797,0.96017,0.97539,0.49389,1.6443,0.7416,1.684,0.0007525,0.0007525,0.0007525
27,1688,1.67512,1.07817,1.59776,0.97391,0.96142,0.9766,0.50757,1.60782,0.71939,1.65678,0.0007426,0.0007426,0.0007426
28,1749.22,1.68652,1.08787,1.59649,0.97039,0.96429,0.97929,0.52068,1.59516,0.71005,1.64652,0.0007327,0.0007327,0.0007327
29,1810.64,1.68285,1.06112,1.59528,0.96771,0.96509,0.97472,0.4998,1.63038,0.70991,1.67534,0.0007228,0.0007228,0.0007228
30,1872.06,1.66493,1.04011,1.58661,0.97183,0.96738,0.97572,0.50335,1.63031,0.69514,1.67084,0.0007129,0.0007129,0.0007129
31,1933.31,1.67369,1.04827,1.5798,0.96898,0.96295,0.97665,0.49952,1.63043,0.69124,1.67942,0.000703,0.000703,0.000703
32,1994.92,1.67196,1.04793,1.5871,0.96799,0.96876,0.97591,0.49051,1.65761,0.69264,1.68795,0.0006931,0.0006931,0.0006931
33,2056.19,1.66253,1.02814,1.58595,0.97144,0.97261,0.98162,0.51553,1.60743,0.66169,1.65328,0.0006832,0.0006832,0.0006832
34,2116.95,1.65992,1.0136,1.57557,0.96806,0.9685,0.97316,0.48424,1.67603,0.68289,1.70312,0.0006733,0.0006733,0.0006733
35,2178.68,1.6602,1.02223,1.57127,0.97043,0.96695,0.97871,0.51202,1.61336,0.66045,1.65837,0.0006634,0.0006634,0.0006634
36,2240.35,1.66481,1.02231,1.58505,0.96833,0.96478,0.9768,0.50421,1.6306,0.67337,1.66719,0.0006535,0.0006535,0.0006535
37,2302.22,1.64593,0.99247,1.55696,0.97432,0.97279,0.97988,0.51358,1.60194,0.65024,1.64726,0.0006436,0.0006436,0.0006436
38,2363.48,1.63496,0.98327,1.55945,0.97198,0.97133,0.98061,0.52149,1.58417,0.64562,1.6369,0.0006337,0.0006337,0.0006337
39,2425.22,1.63588,0.98892,1.55835,0.97105,0.96876,0.97681,0.50133,1.62383,0.65727,1.66947,0.0006238,0.0006238,0.0006238
40,2487.05,1.63563,0.98423,1.57128,0.96927,0.97463,0.97818,0.5098,1.61374,0.64384,1.65634,0.0006139,0.0006139,0.0006139
41,2548.45,1.61833,0.96138,1.54545,0.97502,0.9719,0.97888,0.52122,1.57705,0.63482,1.62991,0.000604,0.000604,0.000604
42,2610.15,1.63001,0.97118,1.54826,0.97512,0.96907,0.97982,0.50965,1.61398,0.63275,1.65404,0.0005941,0.0005941,0.0005941
43,2671.78,1.62215,0.94651,1.54319,0.97711,0.97533,0.98146,0.52806,1.56311,0.61674,1.62087,0.0005842,0.0005842,0.0005842
44,2732.94,1.60898,0.94041,1.52525,0.97428,0.97308,0.98022,0.52245,1.58169,0.61517,1.63337,0.0005743,0.0005743,0.0005743
45,2794.37,1.61617,0.95749,1.55104,0.97599,0.97533,0.98314,0.52278,1.58009,0.6111,1.63141,0.0005644,0.0005644,0.0005644
46,2856.08,1.59896,0.92093,1.53164,0.97104,0.98012,0.98253,0.52863,1.57062,0.60009,1.62365,0.0005545,0.0005545,0.0005545
47,2917.62,1.60141,0.93355,1.53935,0.97005,0.9804,0.98141,0.53551,1.5533,0.59225,1.61072,0.0005446,0.0005446,0.0005446
48,2979.35,1.59003,0.92261,1.53959,0.97325,0.97617,0.98054,0.52558,1.57224,0.59483,1.62753,0.0005347,0.0005347,0.0005347
49,3040.83,1.59559,0.90269,1.53481,0.97081,0.97775,0.98255,0.5344,1.55696,0.59117,1.61327,0.0005248,0.0005248,0.0005248
50,3101.87,1.58687,0.91963,1.52647,0.97806,0.97931,0.98228,0.53323,1.55236,0.58824,1.61249,0.0005149,0.0005149,0.0005149
51,3163.15,1.58261,0.89823,1.52223,0.9776,0.9783,0.98368,0.53755,1.54418,0.58675,1.60461,0.000505,0.000505,0.000505
52,3225.21,1.5737,0.8812,1.51984,0.97696,0.97585,0.98248,0.53687,1.54257,0.58583,1.60676,0.0004951,0.0004951,0.0004951
53,3287.02,1.56983,0.8777,1.51655,0.97344,0.97946,0.98193,0.54027,1.54001,0.57989,1.60199,0.0004852,0.0004852,0.0004852
54,3348.15,1.56277,0.88489,1.50858,0.97445,0.97951,0.98171,0.54059,1.53244,0.57515,1.59402,0.0004753,0.0004753,0.0004753
55,3409.61,1.55935,0.87252,1.51563,0.97514,0.98104,0.98168,0.5421,1.5358,0.56799,1.59916,0.0004654,0.0004654,0.0004654
